TARGET_CLASS,search_budget,Total_Time,Length,Size,LineCoverage,BranchCoverage,OutputCoverage,WeakMutationScore,Implicit_MethodExceptions,MutationScore
org.ow2.proactive.catalog.util.parser.CalendarDefinitionParser,60,64575,17,6,1.0,1.0,0.45454545454545453,1.0,1,1.0
org.ow2.proactive.catalog.util.SeparatorUtility,60,61582,13,5,1.0,1.0,0.2222222222222222,1.0,2,0.5
org.ow2.proactive.catalog.util.LinkUtil,60,72771,11,8,0.48484848484848486,1.0,0.18181818181818182,0.3,5,0.23333333333333334
org.ow2.proactive.catalog.util.KeyValueEntityToDtoTransformer,60,62534,8,4,1.0,1.0,0.6666666666666666,1.0,1,1.0
org.ow2.proactive.catalog.util.RawObjectResponseCreator,60,63470,34,11,1.0,1.0,0.6666666666666666,0.9444444444444444,3,0.6666666666666666
org.ow2.proactive.catalog.util.name.validator.BucketNameValidator,60,884,1,1,1.0,1.0,1.0,1.0,0,1.0
org.ow2.proactive.catalog.util.name.validator.KindAndContentTypeValidator,60,889,1,1,1.0,1.0,1.0,1.0,0,1.0
org.ow2.proactive.catalog.util.name.validator.NameValidator,60,64292,4,2,1.0,1.0,0.5,1.0,1,0.0
org.ow2.proactive.catalog.util.ProActiveMySQL5InnoDBDialect,60,72170,2,1,1.0,1.0,0.3333333333333333,1.0,0,1.0
org.ow2.proactive.catalog.service.CatalogObjectReportService,60,73568,6,1,0.038461538461538464,0.058823529411764705,0.0,0.0,0,0.0
org.ow2.proactive.catalog.service.WorkflowXmlManipulator,60,62931,10,3,0.2619047619047619,0.09615384615384616,0.6666666666666666,0.03488372093023256,0,0.03488372093023256
org.ow2.proactive.catalog.service.CatalogObjectCallGraphService,60,77521,31,4,0.6111111111111112,0.6666666666666666,0.0,0.5925925925925926,2,0.0
org.ow2.proactive.catalog.service.AuthorizationService,60,62410,25,6,1.0,1.0,1.0,0.8571428571428571,1,0.7857142857142857
org.ow2.proactive.catalog.service.GraphqlService,60,65829,12,4,0.36363636363636365,0.5,0.125,0.21052631578947367,1,0.0
org.ow2.proactive.catalog.service.SchedulerUserAuthenticationService,60,62320,32,5,1.0,1.0,0.5,1.0,1,0.5
